"","exp","wks","occ","ind","south","smsa","ms","fem","union","ed","blk","lwage","id","t","tdum1","tdum2","tdum3","tdum4","tdum5","tdum6","tdum7","exp2"
"891",28,30,1,0,0,0,1,0,0,12,0,5.89715003967285,128,2,0,1,0,0,0,0,0,784
"892",29,50,1,1,0,0,1,0,1,12,0,6.35611009597778,128,3,0,0,1,0,0,0,0,841
"893",30,50,1,1,0,0,1,0,1,12,0,6.47697019577026,128,4,0,0,0,1,0,0,0,900
"894",31,49,1,1,0,0,1,0,1,12,0,6.54679012298584,128,5,0,0,0,0,1,0,0,961
"895",32,42,1,1,0,0,1,0,1,12,0,6.65673017501831,128,6,0,0,0,0,0,1,0,1024
"896",33,41,1,1,0,1,1,0,0,12,0,6.76273012161255,128,7,0,0,0,0,0,0,1,1089
"897",31,49,0,1,0,1,1,0,1,8,0,6.07074022293091,129,1,1,0,0,0,0,0,0,961
"898",32,48,0,1,0,1,1,0,1,8,0,6.12687015533447,129,2,0,1,0,0,0,0,0,1024
"899",33,49,0,1,0,1,1,0,1,8,0,6.21461009979248,129,3,0,0,1,0,0,0,0,1089
"900",34,49,0,0,0,1,1,0,1,8,0,6.27288007736206,129,4,0,0,0,1,0,0,0,1156
"901",35,49,0,0,0,1,1,0,1,8,0,6.32793998718262,129,5,0,0,0,0,1,0,0,1225
"902",36,49,1,0,0,1,1,0,1,8,0,6.44412994384766,129,6,0,0,0,0,0,1,0,1296
"903",37,49,1,1,0,1,1,0,1,8,0,6.49071979522705,129,7,0,0,0,0,0,0,1,1369
"904",31,46,0,1,0,1,1,0,1,8,0,6.48310995101929,130,1,1,0,0,0,0,0,0,961
"905",32,45,0,1,0,1,1,0,1,8,0,6.5250301361084,130,2,0,1,0,0,0,0,0,1024
"906",33,46,0,1,0,1,1,0,1,8,0,6.60799980163574,130,3,0,0,1,0,0,0,0,1089
"907",34,46,0,0,0,1,1,0,1,8,0,6.71538019180298,130,4,0,0,0,1,0,0,0,1156
"908",35,46,0,0,0,1,1,0,1,8,0,6.8405499458313,130,5,0,0,0,0,1,0,0,1225
"909",36,46,0,1,0,1,1,0,1,8,0,6.96978998184204,130,6,0,0,0,0,0,1,0,1296
"910",37,46,1,1,0,1,1,0,1,8,0,7.04752016067505,130,7,0,0,0,0,0,0,1,1369
"911",30,45,1,1,0,1,1,0,1,8,0,6.48310995101929,131,1,1,0,0,0,0,0,0,900
"912",31,43,1,1,0,1,1,0,1,8,0,6.55392980575562,131,2,0,1,0,0,0,0,0,961
"913",32,45,1,1,0,1,1,0,1,8,0,6.59987020492554,131,3,0,0,1,0,0,0,0,1024
"914",33,45,1,1,0,1,1,0,1,8,0,6.70930004119873,131,4,0,0,0,1,0,0,0,1089
"915",34,43,1,1,0,1,1,0,1,8,0,6.8564600944519,131,5,0,0,0,0,1,0,0,1156
"916",35,38,1,1,0,1,1,0,1,8,0,6.96790981292725,131,6,0,0,0,0,0,1,0,1225
"917",36,41,1,1,0,1,1,0,1,8,0,7.06219005584717,131,7,0,0,0,0,0,0,1,1296
"918",21,51,0,0,1,0,1,0,0,17,0,6.90574979782104,132,1,1,0,0,0,0,0,0,441
"919",22,51,0,0,1,0,1,0,0,17,0,6.90574979782104,132,2,0,1,0,0,0,0,0,484
"920",23,50,0,0,1,0,1,0,0,17,0,7.43837976455688,132,3,0,0,1,0,0,0,0,529
"921",24,50,0,0,1,0,1,0,0,17,0,7.49554014205933,132,4,0,0,0,1,0,0,0,576
"922",25,51,0,0,1,0,1,0,0,17,0,7.57558012008667,132,5,0,0,0,0,1,0,0,625
"923",26,46,0,0,1,0,1,0,0,17,0,7.6496901512146,132,6,0,0,0,0,0,1,0,676
"924",27,50,0,0,1,0,1,0,0,17,0,7.54696989059448,132,7,0,0,0,0,0,0,1,729
"925",19,51,1,1,1,1,1,0,1,12,1,6.32793998718262,133,1,1,0,0,0,0,0,0,361
"926",20,50,1,1,1,1,1,0,1,12,1,6.47697019577026,133,2,0,1,0,0,0,0,0,400
"927",21,50,1,1,1,1,1,0,1,12,1,6.5861701965332,133,3,0,0,1,0,0,0,0,441
"928",22,50,1,1,1,1,1,0,1,12,1,6.68460988998413,133,4,0,0,0,1,0,0,0,484
"929",23,50,1,1,1,1,1,0,1,12,1,6.68460988998413,133,5,0,0,0,0,1,0,0,529
"930",24,50,1,1,1,1,1,0,1,12,1,6.94118976593018,133,6,0,0,0,0,0,1,0,576
"931",25,40,1,1,1,1,1,0,1,12,1,7.04752016067505,133,7,0,0,0,0,0,0,1,625
"932",4,47,1,1,0,0,0,0,1,12,0,5.72031021118164,134,1,1,0,0,0,0,0,0,16
"933",5,48,1,1,0,0,0,0,1,12,0,5.95841979980469,134,2,0,1,0,0,0,0,0,25
"934",6,51,1,1,0,0,0,0,1,12,0,6.02101993560791,134,3,0,0,1,0,0,0,0,36
"935",7,49,1,1,0,0,0,0,1,12,0,6.21461009979248,134,4,0,0,0,1,0,0,0,49
"936",8,49,1,1,0,0,0,0,1,12,0,6.29157018661499,134,5,0,0,0,0,1,0,0,64
"937",9,48,1,1,0,0,0,0,1,12,0,6.37161016464233,134,6,0,0,0,0,0,1,0,81
"938",10,49,1,1,0,0,0,0,1,12,0,6.45361995697021,134,7,0,0,0,0,0,0,1,100
"939",15,49,0,0,0,0,1,0,0,12,0,6.65286016464233,135,1,1,0,0,0,0,0,0,225
"940",16,49,0,0,0,0,1,0,0,12,0,6.77421998977661,135,2,0,1,0,0,0,0,0,256
"941",17,47,0,0,0,0,1,0,0,12,0,7.09007978439331,135,3,0,0,1,0,0,0,0,289
"942",18,48,0,1,0,0,1,0,0,12,0,6.90776014328003,135,4,0,0,0,1,0,0,0,324
"943",19,48,0,1,0,0,1,0,0,12,0,7.10824012756348,135,5,0,0,0,0,1,0,0,361
"944",20,48,0,1,0,0,1,0,0,12,0,7.02820014953613,135,6,0,0,0,0,0,1,0,400
"945",21,48,0,1,0,0,1,0,0,12,0,7.31322002410889,135,7,0,0,0,0,0,0,1,441
"946",20,48,0,1,0,1,1,0,0,13,0,6.90574979782104,136,1,1,0,0,0,0,0,0,400
"947",21,51,0,1,0,1,1,0,0,13,0,6.5792498588562,136,2,0,1,0,0,0,0,0,441
"948",22,50,0,1,0,1,1,0,0,13,0,7.18311023712158,136,3,0,0,1,0,0,0,0,484
"949",23,51,0,1,0,1,1,0,0,13,0,7.31322002410889,136,4,0,0,0,1,0,0,0,529
"950",24,49,0,1,0,1,1,0,0,13,0,7.40853023529053,136,5,0,0,0,0,1,0,0,576
"951",25,47,0,0,0,1,1,0,0,13,0,7.38646984100342,136,6,0,0,0,0,0,1,0,625
"952",26,48,0,1,0,1,1,0,0,13,0,7.64778995513916,136,7,0,0,0,0,0,0,1,676
"953",23,49,1,1,0,1,1,0,0,11,0,6.63725996017456,137,1,1,0,0,0,0,0,0,529
"954",24,49,1,1,0,1,1,0,0,11,0,6.78559017181396,137,2,0,1,0,0,0,0,0,576
"955",25,49,1,1,0,1,1,0,0,11,0,6.9127402305603,137,3,0,0,1,0,0,0,0,625
"956",26,49,1,1,0,1,1,0,0,11,0,6.98286008834839,137,4,0,0,0,1,0,0,0,676
"957",27,50,1,1,0,1,1,0,0,11,0,6.95655012130737,137,5,0,0,0,0,1,0,0,729
"958",28,49,1,1,0,1,1,0,0,11,0,7.01929998397827,137,6,0,0,0,0,0,1,0,784
"959",29,50,1,1,0,1,1,0,0,11,0,7.25346994400024,137,7,0,0,0,0,0,0,1,841
"960",23,47,0,0,0,1,1,0,0,16,0,6.90574979782104,138,1,1,0,0,0,0,0,0,529
"961",24,48,0,0,0,1,1,0,0,16,0,6.90574979782104,138,2,0,1,0,0,0,0,0,576
"962",25,48,0,0,0,1,1,0,0,16,0,7.46737003326416,138,3,0,0,1,0,0,0,0,625
"963",26,49,0,0,0,1,1,0,0,16,0,7.50383996963501,138,4,0,0,0,1,0,0,0,676
"964",27,45,0,0,0,1,1,0,0,16,0,7.58579015731812,138,5,0,0,0,0,1,0,0,729
"965",28,48,0,0,0,1,1,0,0,16,0,7.66387987136841,138,6,0,0,0,0,0,1,0,784
"966",29,47,0,1,0,1,1,0,0,16,0,7.46737003326416,138,7,0,0,0,0,0,0,1,841
"967",4,51,0,0,0,0,0,0,0,16,0,6.4377498626709,139,1,1,0,0,0,0,0,0,16
"968",5,51,0,0,0,0,0,0,0,16,0,6.62006998062134,139,2,0,1,0,0,0,0,0,25
"969",6,51,0,0,0,0,0,0,0,16,0,6.62006998062134,139,3,0,0,1,0,0,0,0,36
"970",7,50,0,0,0,0,0,0,0,16,0,6.77421998977661,139,4,0,0,0,1,0,0,0,49
"971",8,51,0,0,0,0,0,0,0,16,0,7.13089990615845,139,5,0,0,0,0,1,0,0,64
"972",9,49,0,0,0,1,0,0,0,16,0,7.15070009231567,139,6,0,0,0,0,0,1,0,81
"973",10,49,0,0,0,1,1,0,0,16,0,7.24422979354858,139,7,0,0,0,0,0,0,1,100
"974",10,44,1,1,1,0,1,0,1,9,0,6.2304801940918,140,1,1,0,0,0,0,0,0,100
"975",11,48,1,1,1,0,1,0,1,9,0,6.33328008651733,140,2,0,1,0,0,0,0,0,121
"976",12,48,1,1,1,0,1,0,1,9,0,6.36474990844727,140,3,0,0,1,0,0,0,0,144
"977",13,49,1,1,1,0,1,0,1,9,0,6.45046997070312,140,4,0,0,0,1,0,0,0,169
"978",14,48,1,1,1,0,1,0,1,9,0,6.57227993011475,140,5,0,0,0,0,1,0,0,196
"979",15,38,1,1,1,0,1,0,1,9,0,6.99392986297607,140,6,0,0,0,0,0,1,0,225
"980",16,52,1,1,1,0,1,0,1,9,0,7.21891021728516,140,7,0,0,0,0,0,0,1,256
"981",15,46,1,1,0,0,1,0,0,8,0,5.88609981536865,141,1,1,0,0,0,0,0,0,225
"982",16,44,1,0,0,0,1,0,0,8,0,5.78383016586304,141,2,0,1,0,0,0,0,0,256
"983",17,45,1,0,0,0,1,0,0,8,0,5.99145984649658,141,3,0,0,1,0,0,0,0,289
"984",18,51,1,0,0,0,1,0,0,8,0,6.10925006866455,141,4,0,0,0,1,0,0,0,324
"985",19,50,1,0,0,0,1,0,0,8,0,6.32076978683472,141,5,0,0,0,0,1,0,0,361
"986",20,50,1,0,0,0,1,0,0,8,0,6.4377498626709,141,6,0,0,0,0,0,1,0,400
"987",21,49,1,0,0,0,1,0,0,8,0,6.50578022003174,141,7,0,0,0,0,0,0,1,441
"988",35,47,0,1,0,1,1,0,0,16,0,6.7214298248291,142,1,1,0,0,0,0,0,0,1225
"989",36,45,0,1,0,1,1,0,0,16,0,6.6808500289917,142,2,0,1,0,0,0,0,0,1296
"990",37,48,0,1,0,1,1,0,0,16,0,6.72623014450073,142,3,0,0,1,0,0,0,0,1369
"991",38,47,0,1,0,1,1,0,0,16,0,6.87729978561401,142,4,0,0,0,1,0,0,0,1444
"992",39,47,0,1,0,1,1,0,0,16,0,6.87729978561401,142,5,0,0,0,0,1,0,0,1521
"993",40,47,0,1,0,1,1,0,0,16,0,6.96129989624023,142,6,0,0,0,0,0,1,0,1600
"994",41,47,0,1,0,1,1,0,0,16,0,7.10905981063843,142,7,0,0,0,0,0,0,1,1681
"995",34,50,1,1,0,1,1,0,0,12,0,6.37161016464233,143,1,1,0,0,0,0,0,0,1156
"996",35,49,1,1,0,1,1,0,0,12,0,6.47697019577026,143,2,0,1,0,0,0,0,0,1225
"997",36,49,1,1,0,1,1,0,0,12,0,6.5861701965332,143,3,0,0,1,0,0,0,0,1296
"998",37,49,1,1,0,1,1,0,0,12,0,6.68460988998413,143,4,0,0,0,1,0,0,0,1369
"999",38,48,1,1,0,1,1,0,0,12,0,6.81343984603882,143,5,0,0,0,0,1,0,0,1444
"1000",39,48,1,1,0,1,1,0,0,12,0,6.87729978561401,143,6,0,0,0,0,0,1,0,1521
"1001",40,48,1,1,0,1,1,0,0,12,0,6.96602010726929,143,7,0,0,0,0,0,0,1,1600
"1002",7,49,0,1,0,1,1,0,0,14,0,6.2304801940918,144,1,1,0,0,0,0,0,0,49
"1003",8,50,0,1,0,1,1,0,0,14,0,6.30991983413696,144,2,0,1,0,0,0,0,0,64
"1004",9,49,0,1,0,1,1,0,0,14,0,6.39693021774292,144,3,0,0,1,0,0,0,0,81
"1005",10,49,0,1,0,0,1,0,0,14,0,6.62006998062134,144,4,0,0,0,1,0,0,0,100
"1006",11,49,0,1,0,0,1,0,0,14,0,6.77421998977661,144,5,0,0,0,0,1,0,0,121
"1007",12,48,0,1,0,0,1,0,0,14,0,6.74992990493774,144,6,0,0,0,0,0,1,0,144
"1008",13,48,0,1,0,0,1,0,0,14,0,7.17011976242065,144,7,0,0,0,0,0,0,1,169
"1009",19,48,0,0,0,1,1,0,0,16,0,6.77421998977661,145,1,1,0,0,0,0,0,0,361
"1010",20,49,0,1,0,1,1,0,0,16,0,6.90574979782104,145,2,0,1,0,0,0,0,0,400
"1011",21,49,0,1,0,1,1,0,0,16,0,7.31322002410889,145,3,0,0,1,0,0,0,0,441
"1012",22,49,0,0,0,1,1,0,0,16,0,7.49554014205933,145,4,0,0,0,1,0,0,0,484
"1013",23,49,0,0,0,1,1,0,0,16,0,6.91374015808105,145,5,0,0,0,0,1,0,0,529
"1014",24,49,0,1,0,1,1,0,0,16,0,7.10987997055054,145,6,0,0,0,0,0,1,0,576
"1015",25,49,0,0,0,1,1,0,0,16,0,7.39816999435425,145,7,0,0,0,0,0,0,1,625
"1016",36,48,0,1,0,0,1,0,0,15,0,6.90574979782104,146,1,1,0,0,0,0,0,0,1296
"1017",37,48,0,1,0,0,1,0,0,15,0,6.90574979782104,146,2,0,1,0,0,0,0,0,1369
"1018",38,48,0,1,0,0,1,0,0,15,0,7.13089990615845,146,3,0,0,1,0,0,0,0,1444
"1019",39,48,0,1,0,0,1,0,0,15,0,7.17011976242065,146,4,0,0,0,1,0,0,0,1521
"1020",40,48,0,1,0,0,1,0,0,15,0,7.24422979354858,146,5,0,0,0,0,1,0,0,1600
"1021",41,48,0,1,0,0,1,0,0,15,0,7.31322002410889,146,6,0,0,0,0,0,1,0,1681
"1022",42,48,0,1,0,0,1,0,0,15,0,7.40853023529053,146,7,0,0,0,0,0,0,1,1764
"1023",12,47,0,1,0,0,1,0,0,12,0,6.47697019577026,147,1,1,0,0,0,0,0,0,144
"1024",13,48,0,1,0,0,1,0,0,12,0,6.61337995529175,147,2,0,1,0,0,0,0,0,169
"1025",14,48,0,1,0,0,1,0,0,12,0,6.7214298248291,147,3,0,0,1,0,0,0,0,196
"1026",15,48,0,0,0,0,1,0,0,12,0,7.00306987762451,147,4,0,0,0,1,0,0,0,225
"1027",16,47,0,1,0,0,1,0,0,12,0,7.00306987762451,147,5,0,0,0,0,1,0,0,256
"1028",17,49,0,1,0,0,1,0,0,12,0,7.19818019866943,147,6,0,0,0,0,0,1,0,289
"1029",18,47,0,1,0,0,1,0,0,12,0,7.21008014678955,147,7,0,0,0,0,0,0,1,324
"1030",4,45,1,0,0,1,1,0,0,14,0,5.75257015228271,148,1,1,0,0,0,0,0,0,16
"1031",5,50,0,0,0,1,1,0,0,14,0,5.75257015228271,148,2,0,1,0,0,0,0,0,25
"1032",6,50,0,0,0,1,1,0,0,14,0,6.23440980911255,148,3,0,0,1,0,0,0,0,36
"1033",7,47,0,0,0,1,1,0,0,14,0,6.47697019577026,148,4,0,0,0,1,0,0,0,49
"1034",8,51,0,0,0,1,1,0,0,14,0,6.62006998062134,148,5,0,0,0,0,1,0,0,64
"1035",9,50,0,0,0,1,1,0,0,14,0,6.95655012130737,148,6,0,0,0,0,0,1,0,81
"1036",10,49,0,0,0,1,1,0,0,14,0,6.86693000793457,148,7,0,0,0,0,0,0,1,100
"1037",6,36,0,0,0,1,1,0,1,16,0,6.53669023513794,149,1,1,0,0,0,0,0,0,36
"1038",7,36,0,0,0,1,1,0,1,16,0,6.84161996841431,149,2,0,1,0,0,0,0,0,49
"1039",8,36,0,0,0,1,1,0,1,16,0,6.68460988998413,149,3,0,0,1,0,0,0,0,64
"1040",9,36,0,0,0,1,0,0,1,16,0,6.8405499458313,149,4,0,0,0,1,0,0,0,81
"1041",10,39,0,0,0,1,0,0,1,16,0,6.90776014328003,149,5,0,0,0,0,1,0,0,100
"1042",11,36,0,0,0,1,0,0,1,16,0,6.8564600944519,149,6,0,0,0,0,0,1,0,121
"1043",12,37,0,0,0,1,0,0,1,16,0,6.90776014328003,149,7,0,0,0,0,0,0,1,144
"1044",16,48,1,0,0,1,1,0,1,12,0,6.27098989486694,150,1,1,0,0,0,0,0,0,256
"1045",17,37,1,1,0,1,1,0,1,12,0,6.53958988189697,150,2,0,1,0,0,0,0,0,289
"1046",18,32,1,1,0,1,1,0,1,12,0,6.56666994094849,150,3,0,0,1,0,0,0,0,324
"1047",19,47,1,1,0,1,1,0,1,12,0,6.59577989578247,150,4,0,0,0,1,0,0,0,361
"1048",20,40,1,1,0,1,1,0,1,12,0,6.83840990066528,150,5,0,0,0,0,1,0,0,400
"1049",21,42,1,1,0,1,1,0,1,12,0,6.94021987915039,150,6,0,0,0,0,0,1,0,441
"1050",22,5,1,1,0,1,1,0,1,12,0,6.8035101890564,150,7,0,0,0,0,0,0,1,484
"1051",20,50,1,0,1,0,1,0,0,16,0,6.30991983413696,151,1,1,0,0,0,0,0,0,400
"1052",21,50,1,0,1,0,1,0,0,16,0,6.4329400062561,151,2,0,1,0,0,0,0,0,441
"1053",22,46,1,0,1,0,1,0,0,16,0,6.48157978057861,151,3,0,0,1,0,0,0,0,484
"1054",23,49,1,0,1,0,1,0,0,16,0,6.60664987564087,151,4,0,0,0,1,0,0,0,529
"1055",24,50,1,0,1,0,1,0,0,16,0,6.63331985473633,151,5,0,0,0,0,1,0,0,576
"1056",25,48,0,0,1,0,1,0,0,16,0,6.74524021148682,151,6,0,0,0,0,0,1,0,625
"1057",26,46,1,0,1,0,1,0,0,16,0,6.82763004302979,151,7,0,0,0,0,0,0,1,676
"1058",4,50,1,0,1,0,1,0,0,8,1,5.416100025177,152,1,1,0,0,0,0,0,0,16
"1059",5,44,1,0,1,0,1,0,0,8,1,5.45958995819092,152,2,0,1,0,0,0,0,0,25
"1060",6,48,1,0,1,0,1,0,0,8,1,5.45958995819092,152,3,0,0,1,0,0,0,0,36
"1061",7,43,1,0,1,0,0,0,0,8,1,5.57973003387451,152,4,0,0,0,1,0,0,0,49
"1062",8,6,1,0,1,0,0,0,0,8,1,5.70378017425537,152,5,0,0,0,0,1,0,0,64
"1063",9,6,1,0,1,0,0,0,0,8,1,5.70378017425537,152,6,0,0,0,0,0,1,0,81
"1064",10,35,1,0,1,0,0,0,0,8,1,5.70378017425537,152,7,0,0,0,0,0,0,1,100
"1065",13,49,1,0,0,1,1,0,0,12,0,6.22455978393555,153,1,1,0,0,0,0,0,0,169
"1066",14,37,1,0,0,1,1,0,0,12,0,6.30991983413696,153,2,0,1,0,0,0,0,0,196
"1067",15,49,1,0,0,1,1,0,0,12,0,6.30991983413696,153,3,0,0,1,0,0,0,0,225
"1068",16,48,1,0,0,1,1,0,0,12,0,6.3851900100708,153,4,0,0,0,1,0,0,0,256
"1069",17,22,1,0,0,1,1,0,0,12,0,6.4345498085022,153,5,0,0,0,0,1,0,0,289
"1070",18,50,1,0,0,1,1,0,0,12,0,6.55108022689819,153,6,0,0,0,0,0,1,0,324
"1071",19,48,1,0,0,1,0,0,0,12,0,6.68460988998413,153,7,0,0,0,0,0,0,1,361
"1072",12,50,0,0,1,1,0,0,0,17,0,6.74524021148682,154,1,1,0,0,0,0,0,0,144
"1073",13,44,0,0,1,1,0,0,0,17,0,6.72742986679077,154,2,0,1,0,0,0,0,0,169
"1074",14,50,0,0,1,1,0,0,0,17,0,6.88244009017944,154,3,0,0,1,0,0,0,0,196
"1075",15,45,0,0,1,1,1,0,0,17,0,6.9275598526001,154,4,0,0,0,1,0,0,0,225
"1076",16,44,0,0,1,1,0,0,0,17,0,6.89972019195557,154,5,0,0,0,0,1,0,0,256
"1077",17,51,0,0,1,1,0,0,0,17,0,7.02730989456177,154,6,0,0,0,0,0,1,0,289
"1078",18,49,0,0,1,1,0,0,0,17,0,7.13089990615845,154,7,0,0,0,0,0,0,1,324
"1079",3,49,0,0,0,1,1,0,0,16,0,6.52208995819092,155,1,1,0,0,0,0,0,0,9
"1080",4,46,0,0,0,1,1,0,0,16,0,6.68460988998413,155,2,0,1,0,0,0,0,0,16
"1081",5,48,0,0,0,1,1,0,0,16,0,6.80239009857178,155,3,0,0,1,0,0,0,0,25
"1082",6,48,0,0,0,1,1,0,0,16,0,7.00306987762451,155,4,0,0,0,1,0,0,0,36
"1083",7,48,0,0,0,1,1,0,0,16,0,7.00306987762451,155,5,0,0,0,0,1,0,0,49
"1084",8,48,0,0,0,1,1,0,0,16,0,7.27931976318359,155,6,0,0,0,0,0,1,0,64
"1085",9,48,0,1,0,1,1,0,0,16,0,7.37775993347168,155,7,0,0,0,0,0,0,1,81
"1086",33,47,0,0,0,0,1,0,0,13,0,6.65286016464233,156,1,1,0,0,0,0,0,0,1089
"1087",34,47,0,0,0,0,1,0,0,13,0,6.77421998977661,156,2,0,1,0,0,0,0,0,1156
"1088",35,47,0,0,0,0,1,0,0,13,0,6.80239009857178,156,3,0,0,1,0,0,0,0,1225
"1089",36,47,0,0,0,0,1,0,0,13,0,6.8564600944519,156,4,0,0,0,1,0,0,0,1296
"1090",37,48,0,0,0,0,1,0,0,13,0,7.00306987762451,156,5,0,0,0,0,1,0,0,1369
"1091",38,48,1,0,0,0,1,0,0,13,0,7.09007978439331,156,6,0,0,0,0,0,1,0,1444
"1092",39,48,1,0,0,0,1,0,0,13,0,7.06901979446411,156,7,0,0,0,0,0,0,1,1521
"1093",8,48,1,1,0,0,1,0,1,12,0,6.54535007476807,157,1,1,0,0,0,0,0,0,64
"1094",9,51,0,1,0,0,1,0,1,12,0,6.45361995697021,157,2,0,1,0,0,0,0,0,81
"1095",10,49,0,1,0,0,1,0,1,12,0,6.57785987854004,157,3,0,0,1,0,0,0,0,100
"1096",11,49,0,1,0,0,1,0,1,12,0,6.67456007003784,157,4,0,0,0,1,0,0,0,121
"1097",12,50,1,1,0,0,1,0,1,12,0,6.77307987213135,157,5,0,0,0,0,1,0,0,144
"1098",13,50,0,1,0,0,1,0,1,12,0,6.86900997161865,157,6,0,0,0,0,0,1,0,169
"1099",14,50,1,1,0,0,1,0,1,12,0,6.90776014328003,157,7,0,0,0,0,0,0,1,196
"1100",29,46,1,1,0,1,1,0,0,12,0,6.63856983184814,158,1,1,0,0,0,0,0,0,841
"1101",30,47,1,1,0,1,1,0,0,12,0,6.68460988998413,158,2,0,1,0,0,0,0,0,900
"1102",31,47,1,1,0,1,1,0,0,12,0,6.73339986801147,158,3,0,0,1,0,0,0,0,961
"1103",32,47,1,1,0,1,1,0,0,12,0,6.88244009017944,158,4,0,0,0,1,0,0,0,1024
"1104",33,47,1,1,0,1,1,0,0,12,0,6.92560005187988,158,5,0,0,0,0,1,0,0,1089
"1105",34,47,1,1,0,1,1,0,0,12,0,7.04140996932983,158,6,0,0,0,0,0,1,0,1156
"1106",35,47,1,1,0,1,1,0,0,12,0,7.08840990066528,158,7,0,0,0,0,0,0,1,1225
"1107",30,49,0,1,0,0,1,0,0,12,0,6.55108022689819,159,1,1,0,0,0,0,0,0,900
"1108",31,49,0,1,0,0,1,0,0,12,0,6.5861701965332,159,2,0,1,0,0,0,0,0,961
"1109",32,49,0,0,0,0,1,0,0,12,0,6.65286016464233,159,3,0,0,1,0,0,0,0,1024
"1110",33,52,0,1,0,0,1,0,0,12,0,6.4377498626709,159,4,0,0,0,1,0,0,0,1089
"1111",34,48,0,1,0,0,1,0,0,12,0,6.62006998062134,159,5,0,0,0,0,1,0,0,1156
"1112",35,50,0,1,0,0,1,0,0,12,0,6.80239009857178,159,6,0,0,0,0,0,1,0,1225
"1113",36,49,1,1,0,0,1,0,1,12,0,6.68460988998413,159,7,0,0,0,0,0,0,1,1296
"1114",25,38,0,0,0,1,1,0,1,17,0,6.62006998062134,160,1,1,0,0,0,0,0,0,625
"1115",26,40,0,0,0,1,1,0,1,17,0,6.80239009857178,160,2,0,1,0,0,0,0,0,676
"1116",27,39,0,0,0,1,1,0,1,17,0,6.8564600944519,160,3,0,0,1,0,0,0,0,729
"1117",28,38,0,0,0,1,1,0,1,17,0,6.90776014328003,160,4,0,0,0,1,0,0,0,784
"1118",29,39,0,0,0,1,1,0,1,17,0,6.95655012130737,160,5,0,0,0,0,1,0,0,841
"1119",30,39,0,0,0,1,1,0,1,17,0,7.09007978439331,160,6,0,0,0,0,0,1,0,900
"1120",31,35,0,0,0,1,1,0,1,17,0,7.15070009231567,160,7,0,0,0,0,0,0,1,961
"1121",9,50,1,0,0,0,1,0,0,12,0,6.10925006866455,161,1,1,0,0,0,0,0,0,81
"1122",10,52,1,0,0,0,1,0,0,12,0,6.21461009979248,161,2,0,1,0,0,0,0,0,100
"1123",11,52,1,0,0,0,1,0,0,12,0,6.21461009979248,161,3,0,0,1,0,0,0,0,121
"1124",12,52,1,0,0,0,1,0,0,12,0,6.55819988250732,161,4,0,0,0,1,0,0,0,144
"1125",13,52,1,0,0,0,1,0,0,12,0,6.66567993164062,161,5,0,0,0,0,1,0,0,169
"1126",14,46,1,0,0,0,1,0,0,12,0,6.86171007156372,161,6,0,0,0,0,0,1,0,196
"1127",15,52,1,0,0,0,1,0,0,12,0,6.97072982788086,161,7,0,0,0,0,0,0,1,225
"1128",8,50,1,0,0,1,1,0,0,12,0,5.74300003051758,162,1,1,0,0,0,0,0,0,64
"1129",9,38,1,0,0,1,1,0,0,12,0,6.05209016799927,162,2,0,1,0,0,0,0,0,81
"1130",10,49,0,0,0,1,1,0,0,12,0,6.0799298286438,162,3,0,0,1,0,0,0,0,100
"1131",11,49,1,0,0,1,1,0,0,12,0,6.30991983413696,162,4,0,0,0,1,0,0,0,121
"1132",12,51,1,0,0,1,1,0,0,12,0,6.39693021774292,162,5,0,0,0,0,1,0,0,144
"1133",13,51,1,0,0,1,1,0,0,12,0,6.47697019577026,162,6,0,0,0,0,0,1,0,169
"1134",14,49,1,0,0,1,0,0,0,12,0,6.51470994949341,162,7,0,0,0,0,0,0,1,196
"1135",10,50,1,1,1,1,1,0,1,12,0,6.04024982452393,163,1,1,0,0,0,0,0,0,100
"1136",11,52,1,1,1,1,1,0,1,12,0,6.18415021896362,163,2,0,1,0,0,0,0,0,121
"1137",12,51,1,1,1,1,1,0,1,12,0,6.21461009979248,163,3,0,0,1,0,0,0,0,144
"1138",13,49,1,1,1,1,1,0,1,12,0,6.30991983413696,163,4,0,0,0,1,0,0,0,169
"1139",14,49,1,1,1,1,1,0,1,12,0,6.4552001953125,163,5,0,0,0,0,1,0,0,196
"1140",15,50,1,1,1,1,1,0,1,12,0,6.52208995819092,163,6,0,0,0,0,0,1,0,225
"1141",16,49,1,1,1,1,1,0,1,12,0,6.64248991012573,163,7,0,0,0,0,0,0,1,256
"1142",10,49,1,1,1,1,0,1,0,11,1,6.07304000854492,164,1,1,0,0,0,0,0,0,100
"1143",11,46,1,1,1,1,0,1,0,11,1,6.19440984725952,164,2,0,1,0,0,0,0,0,121
"1144",12,50,1,1,1,1,0,1,0,11,1,6.31897020339966,164,3,0,0,1,0,0,0,0,144
"1145",13,50,1,1,1,1,0,1,0,11,1,6.39525985717773,164,4,0,0,0,1,0,0,0,169
"1146",14,46,1,1,1,1,0,1,0,11,1,6.47697019577026,164,5,0,0,0,0,1,0,0,196
"1147",15,45,1,1,1,1,0,1,0,11,1,6.59714984893799,164,6,0,0,0,0,0,1,0,225
"1148",16,41,1,1,1,1,0,1,0,11,1,6.69208002090454,164,7,0,0,0,0,0,0,1,256
